DEF: kt
DSR: q’
INL: qh
EXT: rţ
FAM: ňs
SIM: p
DEX: č’
DXX: čh
SEQ: nn
SQT: nš
SQC: c’
CTR: ňň
DST: nz
TPI: th
TPD: rč
FRQ: ll
TPR: z
TPP: kk
ATC: pţ
LAT: nž
ITN: nt
RPN: kţ
CAL: rl
DGR: lz
PTW: ss
PTT: ns
CNM: mt
SUF: d
EXN: b
EXD: rd
RCO: zb
RCO: zb
TFI: zg
TFV: žd
CRI: zd
CRV: žb
MDL: žg
FLS: g
ICR: f
ICR: f
DCR: ft
ICD: pf
DCI: kf
IDR: qţ
MVT: fs
SIZ: x
SCO: xh
AFT: ç
QUA: č
UNQ: c
IPT: rň
CNQ: kh
NTR: q
BEH: rg
APR: xht
HRC: tļ
FRM: ż
TYP: j
PTY: ňx
ITG: mž
MDN: ļ
NA1: r
NA1: r
NA2: l
NA3: ř
NA4: řř
PLV: rr
DEV: ţ
REA: pt
SCS: rk
CAP: v
PRB: çq
STR: nţ
FRC: kç
ITY: sk
SPD: st
CFD: lt
EFI: dh
ERR: šq
MAT: ph
SBT: ňz
DRC: kš
SUD: mš
PCN: pç
CNC: ch
SPH: lk
CVT: çt
EFT: rt
DSG: ňž
DCS: sq
CTN: št
PHY: çk
MD01: řb
MD01: řb
MD02: řd
MD03: řč
MD04: řţ
MD05: řç
MD06: řc
MD07: řf
MD08: řxh
MD09: řk
MD10: nd
MD11: řg
MD12: řq
MD13: řż
MD14: řj
MD15: řtļ
MD16: řs
MD17: řš
MD18: řv
MD19: řň
MD20: řdh
MD21: řz
MD22: řž
MD23: řn
MD24: rm
MD25: řl
MD26: řp
MD27: md
MD28: qf
MD29: tf
MD30: mv
MD31: řt
MD32: ňg
MD33: mf
AGC: n
ROL: m
UTE: pš
CNS: ž
MEC: t
BOD: rx
DBI: mp
SOC: ld
OAU: ňq
AUT: ndh
RSN: šš
MTA: ps
XPT: ňt
DLB: sp
MOT: mz
ENB: ls
AGN: ms
IMP: rz
TPF: t’
SWR: rm
PLA: s
APT: mm
TEM: ňš
PTF: rs
PTG: š
MET: qt
SSD: k
SBS: k’
SPS: rq
ATN: p’
DPR: šk
SEP: mb
SDP: ňk
NEW: xt
COS: ks
WAK: ln
SCT: šp
NNN: lm
LVL: mļ
FNS: lţ
FMS: lf
TRF: lv
CVY: lb
FEA: lš
STG: nļ
CGL: lc
INB: lq
PLE: ff
ACQ: rc
TAL: rf
RNC: rtļ
DPT: mx
ENG: lč
OPF: lg
MLR: rç
HG1: rp
HG2: lp
PHS: rn
LCT: rš
PXM: bz
CTC: gz
VWP: rb
